# University Ranking Results - www.universityrankings.ch
# Ranking: QS
# Year: 2018
#
 #    World Rank                   ,  Institution                   ,  Country                       
   11  ,  Nanyang Technological University  , Singapore    
   701-750  ,  De La Salle University  , Philippines    
   701-750  ,  Beijing Jiaotong University  , China    
   751-800  ,  Bogor Agricultural University  , Indonesia    
   751-800  ,  University of Calcutta  , India    
   751-800  ,  Gunma University  , Japan    
   751-800  ,  Nagoya Institute of Technology  , Japan    
   751-800  ,  Yamaguchi University  , Japan    
   751-800  ,  Yokohama National University  , Japan    
   751-800  ,  Yeungnam University  , South Korea    
   751-800  ,  University of Technology - Mara  , Malaysia    
   751-800  ,  Kasetsart University  , Thailand    
   801-1000  ,  Central South University  , China    
   801-1000  ,  Chongqing University  , China    
   801-1000  ,  Diponegoro University  , Indonesia    
   801-1000  ,  Muhammadiyah University of Surakarta  , Indonesia    
   801-1000  ,  Aligarh Muslim University  , India    
   801-1000  ,  Banaras Hindu University  , India    
   801-1000  ,  Birla Institute of Technology and Science  , India    
   801-1000  ,  Panjab University  , India    
   801-1000  ,  University of Mumbai  , India    
   801-1000  ,  Savitribai Phule Pune University  , India    
   801-1000  ,  Shahid Beheshti University  , Iran    
   801-1000  ,  Aoyama Gakuin University  , Japan    
   801-1000  ,  Doshisha University  , Japan    
   801-1000  ,  Kyushu Institute of Technology  , Japan    
   801-1000  ,  Meiji University  , Japan    
   801-1000  ,  Ochanomizu University  , Japan    
   801-1000  ,  Ritsumeikan University  , Japan    
   801-1000  ,  Saitama University  , Japan    
   801-1000  ,  Shinshu University  , Japan    
   801-1000  ,  Tokai University  , Japan    
   801-1000  ,  Chungnam National University  , South Korea    
   801-1000  ,  University of Santo Tomas  , Philippines    
   801-1000  ,  Khon Kaen University  , Thailand    
   801-1000  ,  King Mongkut&rsquo;s University of Technology Thonburi  , Thailand    
   801-1000  ,  Prince of Songkla University  , Thailand    
   801-1000  ,  Feng Chia University  , Taiwan    
   801-1000  ,  Fu Jen Catholic University  , Taiwan    
   801-1000  ,  University of Brawijaya  , Indonesia    
   801-1000  ,  Sepuluh Nopember Institute of Technology  , Indonesia    
   801-1000  ,  Seoul National University of Science and Technology  , South Korea    
