# University Ranking Results - www.universityrankings.ch
# Ranking: QS
# Year: 2019
#
 #    World Rank                   ,  Institution                   ,  Country                       
   11  ,  National University of Singapore  , Singapore    
   651-700  ,  Chiang Mai University  , Thailand    
   651-700  ,  National Chung Hsing University - Taipei  , Taiwan    
   701-750  ,  Hunan University  , China    
   701-750  ,  Shanghai International Studies University  , China    
   701-750  ,  Bogor Agricultural University  , Indonesia    
   701-750  ,  University of Tehran  , Iran    
   701-750  ,  Gunma University  , Japan    
   701-750  ,  Yamaguchi University  , Japan    
   701-750  ,  Yokohama National University  , Japan    
   701-750  ,  Chungnam National University  , South Korea    
   701-750  ,  Dankook University  , South Korea    
   701-750  ,  University of Tenaga Nasional  , Malaysia    
   751-800  ,  Beijing Foreign Studies University  , China    
   751-800  ,  Beijing University of Technology  , China    
   751-800  ,  University of Electronic Science and Technology of China  , China    
   751-800  ,  Airlangga University  , Indonesia    
   751-800  ,  Anna University  , India    
   751-800  ,  Jamia Millia Islamia University  , India    
   751-800  ,  Manipal University  , India    
   751-800  ,  Nagoya Institute of Technology  , Japan    
   751-800  ,  Tokyo University of Science  , Japan    
   751-800  ,  Sophia University  , Japan    
   751-800  ,  University of Technology - Mara  , Malaysia    
   751-800  ,  Beijing Jiaotong University  , China    
   801-1000  ,  Central South University  , China    
   801-1000  ,  Chongqing University  , China    
   801-1000  ,  Diponegoro University  , Indonesia    
   801-1000  ,  Aligarh Muslim University  , India    
   801-1000  ,  Amrita Vishwa Vidyapeetham (Deemed University)  , India    
   801-1000  ,  Banaras Hindu University  , India    
   801-1000  ,  Birla Institute of Technology and Science  , India    
   801-1000  ,  Thapar University  , India    
   801-1000  ,  University of Calcutta  , India    
   801-1000  ,  University of Mumbai  , India    
   801-1000  ,  Savitribai Phule Pune University  , India    
   801-1000  ,  Vellore Institute of Technology  , India    
   801-1000  ,  Shahid Beheshti University  , Iran    
   801-1000  ,  Shiraz University  , Iran    
   801-1000  ,  Aoyama Gakuin University  , Japan    
   801-1000  ,  Doshisha University  , Japan    
   801-1000  ,  Kyoto Institute of Technology  , Japan    
   801-1000  ,  Kyushu Institute of Technology  , Japan    
   801-1000  ,  Meiji University  , Japan    
   801-1000  ,  Ochanomizu University  , Japan    
   801-1000  ,  Ritsumeikan University  , Japan    
   801-1000  ,  Saitama University  , Japan    
   801-1000  ,  Shinshu University  , Japan    
   801-1000  ,  Tokai University  , Japan    
   801-1000  ,  Yeungnam University  , South Korea    
   801-1000  ,  Multimedia University  , Malaysia    
   801-1000  ,  De La Salle University  , Philippines    
   801-1000  ,  University of Santo Tomas  , Philippines    
   801-1000  ,  Kasetsart University  , Thailand    
   801-1000  ,  Khon Kaen University  , Thailand    
   801-1000  ,  King Mongkut&rsquo;s University of Technology Thonburi  , Thailand    
   801-1000  ,  Prince of Songkla University  , Thailand    
   801-1000  ,  Feng Chia University  , Taiwan    
   801-1000  ,  Fu Jen Catholic University  , Taiwan    
   801-1000  ,  National Chung Cheng University  , Taiwan    
   801-1000  ,  Amity University  , India    
   801-1000  ,  University of Brawijaya  , Indonesia    
   801-1000  ,  Sepuluh Nopember Institute of Technology  , Indonesia    
   801-1000  ,  Seoul National University of Science and Technology  , South Korea    
